,ad_account_id,channel_id,source_id,tdate,amount,new_role_money,roi,pay_rate
0,11597,21206,1491952,2022-06-23,1392.78,80.0,0.057439,0.0357
1,11598,21206,1491955,2022-06-23,1248.06,12.0,0.009615,0.0333
2,11596,21206,1491972,2022-06-23,1273.68,78.0,0.06124,0.0185
3,11735,21212,1491919,2022-06-23,4713.41,60.0,0.01273,0.0308
4,11734,21212,1492636,2022-06-23,3100.65,42.0,0.013546,0.0345
5,11154,21387,1491269,2022-06-23,4685.64,250.0,0.053355,0.0333
7,11600,21206,1492813,2022-06-24,3247.58,98.0,0.030176,0.0147
8,11597,21206,1492820,2022-06-24,2651.27,48.0,0.018105,0.0217
9,11597,21206,1493015,2022-06-24,2940.03,304.0,0.1034,0.08
10,11152,21387,1493791,2022-06-24,3090.68,48.0,0.015531,0.02
11,11152,21387,1493795,2022-06-24,2820.51,80.0,0.028364,0.0217
17,11152,21387,1493790,2022-06-25,3227.95,98.0,0.03036,0.0196
16,11152,21387,1490273,2022-06-25,808.44,12.0,0.014843,0.0323
15,10149,21212,1494815,2022-06-25,3322.54,648.0,0.195032,0.0313
14,11597,21206,1492811,2022-06-25,555.92,30.0,0.053965,0.0769
13,11600,21206,1491988,2022-06-25,2805.5,150.0,0.053466,0.0377
18,11597,21206,1494604,2022-06-26,2175.55,482.0,0.221553,0.0196
19,11598,21206,1494610,2022-06-26,3936.16,108.0,0.027438,0.018
20,11598,21206,1495338,2022-06-26,2643.13,30.0,0.01135,0.0127
21,11152,21387,1493792,2022-06-26,3553.88,218.0,0.061341,0.0135
22,11734,21212,1496244,2022-06-27,1995.05,110.0,0.055136,0.0323
23,11150,21387,1496182,2022-06-27,3680.68,60.0,0.016301,0.0118
25,11152,21387,1493793,2022-06-27,247.52,48.0,0.193924,0.04
32,11152,21387,1497026,2022-06-28,2415.76,208.0,0.086101,0.0455
31,11154,21387,1496186,2022-06-28,3664.61,42.0,0.011461,0.0175
29,11598,21206,1495348,2022-06-28,1624.25,42.0,0.025858,0.0294
30,11734,21212,1496257,2022-06-28,5612.25,406.0,0.072342,0.027
27,11596,21206,1475014,2022-06-28,1402.06,170.0,0.12125,0.0556
26,11597,21206,1475007,2022-06-28,1380.49,30.0,0.021731,0.0357
45,11152,21387,1497024,2022-06-29,3290.65,30.0,0.009117,0.0135
43,11150,21387,1496193,2022-06-29,2983.01,30.0,0.010057,0.037
42,11150,21387,1496190,2022-06-29,2421.09,110.0,0.045434,0.0357
41,11597,21361,1475844,2022-06-29,404.77,42.0,0.103763,0.1
40,11734,21212,1497426,2022-06-29,3413.65,98.0,0.028708,0.0625
39,11599,21206,1495340,2022-06-29,2565.89,110.0,0.04287,0.0147
44,10821,21394,1497956,2022-06-29,1268.11,12.0,0.009463,0.037
36,11597,21206,1475697,2022-06-29,433.19,30.0,0.069254,0.037
34,11596,21206,1473598,2022-06-29,463.91,42.0,0.090535,0.0909
33,11596,21206,1473569,2022-06-29,392.7,618.0,1.57372,0.0714
38,11596,21206,1494608,2022-06-29,2164.73,2784.0,1.286073,0.0385
51,12073,21394,1498139,2022-06-30,3244.79,98.0,0.030202,0.0294
50,12072,21394,1497951,2022-06-30,809.71,188.0,0.232182,0.3333
49,12072,21394,1497950,2022-06-30,737.58,30.0,0.040674,0.0263
47,11734,21212,1497422,2022-06-30,5382.97,102.0,0.018949,0.04
46,11597,21206,1490857,2022-06-30,1518.98,66.0,0.04345,0.0435
52,11600,21206,1499878,2022-07-01,2175.81,90.0,0.041364,0.0476
53,10149,21212,1499105,2022-07-01,2894.31,48.0,0.016584,0.0118
54,11152,21387,1499096,2022-07-01,3771.11,42.0,0.011137,0.0172
58,10821,21394,1500574,2022-07-02,5544.58,322.0,0.058075,0.0156
55,11600,21206,1499873,2022-07-02,2691.43,48.0,0.017834,0.04
56,11599,21206,1499961,2022-07-02,2872.42,72.0,0.025066,0.0161
57,11597,21206,1500564,2022-07-02,3201.61,30.0,0.00937,0.0125
59,12073,21394,1501102,2022-07-02,1019.91,12.0,0.011766,0.2
60,11730,6867,1490465,2022-07-03,819.14,30.0,0.036624,0.05
